web100_log_entry_log_time,web100_log_entry_connection_spec_remote_ip,web100_log_entry_snap_HCThruOctetsAcked,web100_log_entry_snap_SndLimTimeRwin,web100_log_entry_snap_SndLimTimeCwnd,web100_log_entry_snap_SndLimTimeSnd,web100_log_entry_snap_MinRTT,web100_log_entry_snap_MaxRTT,web100_log_entry_snap_SumRTT,web100_log_entry_snap_CountRTT,web100_log_entry_snap_MaxMSS,web100_log_entry_snap_MaxPipeSize,web100_log_entry_snap_SegsRetrans,web100_log_entry_snap_SegsOut,web100_log_entry_snap_DataSegsOut,web100_log_entry_snap_CongSignals,web100_log_entry_snap_Timeouts,web100_log_entry_snap_DupAcksOut,web100_log_entry_snap_ECNsignals,web100_log_entry_snap_PreCongSumCwnd,web100_log_entry_snap_PreCongSumRTT,connection_spec_client_geolocation_country_code,connection_spec_server_geolocation_country_code
1394623337,186.167.242.187,4945524,928431,9496076,208065,112,568,909162,4276,1012,,37,4982,4982,3,0,0,,563684,825,VE,
1394623045,186.167.242.187,5164804,2580694,7720074,226021,123,594,1342872,4541,1012,,29,5234,5234,2,0,0,,512072,859,VE,
1394623391,186.167.242.187,6108784,1854445,8480070,169236,112,420,1166513,5352,1012,,63,6161,6161,4,0,0,,810612,913,VE,
1394623283,186.167.242.187,3595340,0,9995352,299815,112,828,603283,3322,1012,,48,3672,3672,2,0,0,,247940,500,VE,
1394622968,186.167.242.187,2934680,1301365,8711911,255657,132,782,922271,2373,1012,,16,2999,2999,2,0,0,,453376,906,VE,
1386333182,186.92.133.11,1097108,9376873,583016,172041,113,255,57854,376,1460,,0,764,764,0,0,0,,0,0,VE,US
1392444448,186.24.88.44,1292092,9691895,1478781,170852,120,840,196068,420,1460,,5,918,918,0,1,0,,0,0,VE,US
1394952229,186.94.125.41,635744,2041742,8425131,175838,458,811,105080,188,1460,,6,478,478,3,1,0,,115340,1908,VE,US
1394951712,200.82.227.165,3618648,8762133,1502331,167877,60,905,417684,830,1448,,0,2661,2661,0,0,0,,0,0,VE,
1394951745,200.82.227.165,3857144,0,10044537,157781,53,1596,68461,809,1448,,4,2715,2715,0,1,0,,0,0,VE,
1398322135,186.92.219.125,1789148,184694,9910348,359046,92,258,113512,573,1460,,14,1267,1267,2,0,0,,115340,513,VE,US
1390222190,186.95.67.135,1320972,1169013,9134557,325738,190,700,117303,463,1460,,12,960,960,2,0,0,,115340,744,VE,
1394105535,186.14.201.113,716680,6695485,3678520,172813,80,2396,255183,243,1448,,7,522,522,1,0,0,,120184,2039,VE,
1389116455,190.121.230.129,608900,1475798,8597602,199994,100,764,56658,176,1460,,14,449,449,2,0,0,,99280,1227,VE,US
1389116258,186.88.5.23,2633832,2498407,7758385,453228,136,801,185676,709,1448,,55,1898,1898,3,1,0,,412680,1466,VE,
1384174221,186.95.0.139,964800,0,10074384,313648,146,452,95007,336,1440,,0,697,697,0,0,0,,0,0,VE,US
1394535508,200.8.59.194,1210980,8280628,1734587,221519,55,937,268032,386,1460,,0,901,901,0,0,0,,0,0,VE,US
1394534774,200.8.59.194,714588,9566722,451853,173799,73,826,55925,237,1460,,0,503,503,0,0,0,,0,0,VE,US
